Date,Price,Open,High,Low,Vol.,Change %
10/28/2020,21.5,21.45,21.7,21.15,46.66M,0.23%
10/27/2020,21.45,21.15,21.45,21.2,18.86M,1.42%
10/26/2020,21.15,21,21.2,21.1,47.79M,0.71%
10/23/2020,21,20.65,21.2,20.6,19.56M,1.69%
10/22/2020,20.65,20.8,20.65,20.05,39.58M,-0.72%
10/21/2020,20.8,20.5,20.8,19.3,39.61M,-1.19%
10/20/2020,21.05,21,21.1,20.55,27.16M,0.24%
10/19/2020,21,21.55,21.5,20.75,43.00M,-2.55%
10/16/2020,21.55,20,21.65,20.1,73.93M,7.75%
10/15/2020,20,20,20.45,19.95,67.23M,0.00%
10/14/2020,20,20,20.05,19.95,53.05M,0.00%
10/13/2020,20,19.95,20,19.8,14.83M,0.25%
10/12/2020,19.95,20,20.05,19.95,47.22M,-0.25%
10/09/2020,20,20.05,20.5,19.75,49.97M,-0.50%
10/08/2020,20.1,19.55,20.7,19.6,74.23M,2.81%
10/07/2020,19.55,20.8,22,19.15,120.62M,-6.01%
10/06/2020,20.8,19,20.8,19.1,135.70M,9.47%
10/05/2020,19,18.05,19.2,18.2,204.69M,5.26%
10/02/2020,18.05,17.85,18.1,17.9,132.33M,1.12%
09/30/2020,17.85,17.5,17.95,17.55,24.87M,2.00%
09/29/2020,17.5,17.3,17.5,17.3,90.88M,1.16%
09/28/2020,17.3,17.3,17.45,17.3,89.51M,0.00%
09/25/2020,17.3,17.1,17.4,17.25,50.75M,1.17%
09/24/2020,17.1,17,17.2,17,44.54M,0.59%
09/23/2020,17,16.7,17,16.75,28.45M,1.80%
09/22/2020,16.7,16.7,16.7,16.65,45.88M,0.00%
09/21/2020,16.7,16.7,16.85,16.65,11.66M,0.00%
09/18/2020,16.7,16.7,16.75,16.65,16.00M,0.00%
09/17/2020,16.7,16.7,16.8,16.6,25.08M,-1.76%
09/16/2020,17,17.2,17.2,16.95,17.99M,-1.16%
09/15/2020,17.2,17.25,17.25,17.05,18.78M,-0.29%
09/14/2020,17.25,17.2,17.25,17.1,13.24M,0.29%
09/11/2020,17.2,16.95,17.2,16.95,17.73M,1.47%
09/10/2020,16.95,16.5,17.05,16.05,33.16M,3.35%
09/09/2020,16.4,16.9,16.9,16.4,35.84M,-2.96%
09/08/2020,16.9,17.3,17.3,16.9,26.04M,-2.31%
09/07/2020,17.3,17.4,17.5,17.25,30.82M,-0.57%
09/04/2020,17.4,17.2,17.45,17.2,78.60M,1.16%
09/03/2020,17.2,16.95,17.2,17,25.49M,1.47%
09/02/2020,16.95,16.85,16.95,16.85,13.05M,0.59%
09/01/2020,16.85,16.75,16.85,16.75,7.23M,0.60%
08/31/2020,16.75,16.85,16.9,16.65,23.90M,-0.59%
08/28/2020,16.85,16.85,16.9,16.85,4.75M,0.00%
08/27/2020,16.85,16.95,17,16.85,7.44M,-0.59%
08/26/2020,16.95,16.95,17,16.9,10.20M,0.00%
08/25/2020,16.95,16.85,17,16.8,10.43M,0.59%
08/24/2020,16.85,16.8,16.95,16.8,45.46M,0.30%
08/21/2020,16.8,16.9,16.95,16.75,19.08M,-0.59%
08/20/2020,16.9,16.9,17,16.85,9.65M,0.00%
08/19/2020,16.9,16.75,16.9,16.7,35.94M,0.90%
08/18/2020,16.75,16.7,16.75,16.7,35.84M,0.30%
08/17/2020,16.7,16.7,16.8,16.7,18.60M,0.00%
08/14/2020,16.7,16.75,16.75,16.65,58.05M,-0.30%
08/13/2020,16.75,16.75,16.8,16.75,25.66M,0.00%
08/12/2020,16.75,16.85,16.85,16.7,15.21M,-0.59%
08/11/2020,16.85,16.8,16.85,16.8,15.31M,0.30%
08/10/2020,16.8,16.9,16.9,16.6,7.19M,-0.59%
08/07/2020,16.9,16.7,16.95,16.8,11.34M,1.20%
08/06/2020,16.7,16.5,16.7,16.65,6.05M,1.21%
08/05/2020,16.5,16.95,17,16.5,30.79M,-2.65%
08/04/2020,16.95,16.35,16.95,16.35,6.98M,3.67%
08/03/2020,16.35,16.3,16.4,16.3,8.20M,0.31%
07/29/2020,16.3,16.35,16.3,16.15,5.18M,-0.31%
07/28/2020,16.35,15.9,16.35,16.1,6.63M,2.83%
07/27/2020,15.9,15.5,16.25,15.8,7.21M,2.58%
07/24/2020,15.5,15.55,15.7,15.5,34.57M,-0.32%
07/23/2020,15.55,15.55,15.6,15.5,17.94M,0.00%
07/22/2020,15.55,15.55,15.6,15.5,8.66M,0.00%
07/21/2020,15.55,15.65,15.65,15.5,17.87M,-0.64%
07/20/2020,15.65,15.75,15.75,15.6,14.19M,-0.63%
07/17/2020,15.75,15.75,15.9,15.7,8.28M,0.00%
07/16/2020,15.75,15.55,15.8,15.7,4.46M,1.29%
07/15/2020,15.55,15.6,16.1,15.4,15.95M,-0.32%
07/14/2020,15.6,16.2,16,15.5,10.64M,-3.70%
07/13/2020,16.2,16.7,16.35,15.95,8.66M,-2.99%
07/10/2020,16.7,16.75,16.75,16.3,13.24M,-0.30%
07/09/2020,16.75,16.65,16.85,16.05,23.08M,0.60%
07/08/2020,16.65,16.35,16.65,16.35,16.78M,1.83%
07/07/2020,16.35,16.05,16.35,16.15,7.99M,1.87%
07/06/2020,16.05,15.25,16.05,15.25,8.00M,5.25%
07/03/2020,15.25,14.8,15.6,15,27.23M,3.04%
07/02/2020,14.8,15.7,15.6,14.8,15.54M,-5.73%
07/01/2020,15.7,16.1,16.05,15.7,5.72M,-2.48%
06/30/2020,16.1,16.2,16.15,16.1,9.81M,-0.62%
06/29/2020,16.2,16.2,16.25,16.1,10.25M,0.00%
06/26/2020,16.2,16.15,16.2,16.2,3.99M,0.31%
06/25/2020,16.15,16.4,16.4,16.1,18.95M,-1.52%
06/24/2020,16.4,16.25,16.4,16.25,21.35M,0.92%
06/23/2020,16.25,16.15,16.25,16.15,8.06M,0.62%
06/22/2020,16.15,16.15,16.25,16.15,10.43M,0.00%
06/19/2020,16.15,16.15,16.35,16.15,12.66M,0.00%
06/18/2020,16.15,16.25,16.25,16.1,8.41M,0.00%
06/17/2020,16.15,16.1,16.3,16.15,6.71M,0.31%
06/16/2020,16.1,16.2,16.6,16.1,22.63M,-0.62%
06/15/2020,16.2,16.65,16.75,15.8,24.14M,-2.70%
06/11/2020,16.65,16.6,16.7,16.6,12.39M,0.30%
06/10/2020,16.6,16.9,16.9,16.6,16.44M,-1.78%
06/09/2020,16.9,16.9,16.95,16.8,9.95M,0.00%
06/08/2020,16.9,16.75,17.1,16.75,19.27M,0.90%
06/05/2020,16.75,16.7,16.9,16.7,22.27M,0.30%
06/04/2020,16.7,17,17.1,16.6,25.21M,-1.76%
06/03/2020,17,17.1,17.35,17,21.80M,-0.58%
06/02/2020,17.1,17.05,17.3,17.1,34.90M,0.29%
06/01/2020,17.05,16.9,17.3,16.9,21.58M,0.89%
05/29/2020,16.9,17.45,17.5,16.9,33.49M,-3.15%
05/28/2020,17.45,17.9,17.9,17.2,27.42M,-2.51%
05/27/2020,17.9,16.95,18,17,67.27M,5.60%
05/22/2020,16.95,17,16.95,16.75,44.96M,-0.29%
05/21/2020,17,16.5,17,16.2,57.42M,3.03%
05/20/2020,16.5,15.85,16.5,15.8,75.07M,4.10%
05/19/2020,15.85,15.5,16,15.5,39.75M,2.26%
05/18/2020,15.5,15.45,15.5,15.3,54.93M,0.32%
05/15/2020,15.45,15.4,15.45,15.25,18.70M,0.32%
05/14/2020,15.4,15.1,15.4,15.1,27.28M,1.99%
05/13/2020,15.1,15.05,15.1,15.05,7.41M,0.33%
05/12/2020,15.05,15.05,15.35,15.05,9.17M,0.00%
